DESCRIPCION,UNIDAD,PRECIO UNITARIO,CPC ELEMENTO,NP/ND/EP,VAE (%),RECURSO
Backplane (12 slots),,0.0,,,0.0,MATERIAL
Backplane (6 slots),,0.0,,,0.0,MATERIAL
"Banco de capacitores 10 KVAR, 460v",,0.0,,,0.0,MATERIAL
"Bandeja portacable HG tipo escalerilla 0,45x0,15 m.",,0.0,,,0.0,MATERIAL
Bandeja portacable HG tipo escalerilla 0.20x0.15,,0.0,,,0.0,MATERIAL
Bandeja portacable HG tipo escalerilla 0.30x0.15,,0.0,,,0.0,MATERIAL
Bomba Centrifuga eje horizontal Q=6.31 l/s; H=47.89 m.c.a,,0.0,,,0.0,MATERIAL
Bomba Jockey Q=0.06 l/s TDH= 52.68 mca,,0.0,,,0.0,MATERIAL
Bombas de dosificación,,0.0,,,0.0,MATERIAL
Breaker enchufable-corto circuitos 1P – 15-40 Amp,,0.0,,,0.0,MATERIAL
"Brida ciega ANSI Clase 150 para CD40 acero inoxidable incluye pernos y empaques D=16""",,0.0,,,0.0,MATERIAL
"Brida ciega ANSI Clase 150 para CD40 acero inoxidable incluye pernos y empaques D=32""",,0.0,,,0.0,MATERIAL
"Brida tipo slip on ANSI Clase 150 para CD40 acero inoxidable D=04""",,0.0,,,0.0,MATERIAL
"Brida tipo slip on ANSI Clase 150 para CD40 acero inoxidable D=06""",,0.0,,,0.0,MATERIAL
"Brida tipo slip on ANSI Clase 150 para CD40 acero inoxidable D=08""",,0.0,,,0.0,MATERIAL
"Brida tipo slip on ANSI Clase 150 para CD40 acero inoxidable D=10""",,0.0,,,0.0,MATERIAL
"Brida tipo slip on ANSI Clase 150 para CD40 acero inoxidable D=16""",,0.0,,,0.0,MATERIAL
"Brida tipo slip on ANSI Clase 150 para CD40 acero inoxidable D=20""",,0.0,,,0.0,MATERIAL
"Brida tipo slip on ANSI Clase 150 para CD40 acero inoxidable D=36""",,0.0,,,0.0,MATERIAL
"Brida tipo slip on ANSI Clase 150 para CD40 acero inoxidable incluye pernos y empaques D=04""",,0.0,,,0.0,MATERIAL
"Brida tipo slip on ANSI Clase 150 para CD40 acero inoxidable incluye pernos y empaques D=06""",,0.0,,,0.0,MATERIAL
"Brida tipo slip on ANSI Clase 150 para CD40 acero inoxidable incluye pernos y empaques D=08""",,0.0,,,0.0,MATERIAL
"Brida tipo slip on ANSI Clase 150 para CD40 acero inoxidable incluye pernos y empaques D=10""",,0.0,,,0.0,MATERIAL
"Brida tipo slip on ANSI Clase 150 para CD40 acero inoxidable incluye pernos y empaques D=16""",,0.0,,,0.0,MATERIAL
"Brida tipo slip on ANSI Clase 150 para CD40 acero inoxidable incluye pernos y empaques D=20""",,0.0,,,0.0,MATERIAL
"Brida tipo slip on ANSI Clase 150 para CD40 acero inoxidable incluye pernos y empaques D=36""",,0.0,,,0.0,MATERIAL
Broca De Perforación,,0.0,,,0.0,MATERIAL
CABLE DE 3 M PARA TERMINAL GRAFICO,,0.0,,,0.0,MATERIAL
"CABLE DE FIBRA ÓPTICA MULTIMODO, 6 HILOS",,0.0,,,0.0,MATERIAL
"CABLE FPLR # 16, CONCENTRICO 2X16",,0.0,,,0.0,MATERIAL
CADENERO E. O. D2,,4.39,541210012,ND,0.3809,MANO DE OBRA
"CAJETÍN OCTOGONAL GRANDE, PROFUNDO CON TAPA.",,0.0,,,0.0,MATERIAL
CAMIÓN GRÚA,,0.0,,,0.0,EQUIPO
CANAL DE AGUAS LLUVIA,,0.0,,,0.0,MATERIAL
"CAPACITOR 10,4 KVAR 480V",,0.0,,,0.0,MATERIAL
CAPACITOR 17 KVAR 480V,,0.0,,,0.0,MATERIAL
"CAPACITOR 25,8 KVAR 480V",,0.0,,,0.0,MATERIAL
CARBONADO TIPO A,,0.0,,,0.0,MATERIAL
CARGADORA FRONTAL 110 HP,,20.0,,,0.0,EQUIPO
CEMENTO,,0.0,,,0.0,MATERIAL
CEMENTO BLANCO,,0.0,,,0.0,MATERIAL
CEMENTO PORTLAND,,0.0,,,0.0,MATERIAL
CEMENTO PORTLAND GRIS,,0.0,,,0.0,MATERIAL
CEMENTO PORTLAND TIPO 1,,0.0,,,0.0,MATERIAL
CEMENTO PORTLAND TIPO 1,kg,0.14,,,0.0,MATERIAL
"CENTRAL CLVR 4 ZONAS, INCLUYE BATERIA RECARGABLE 12Vdc 4Amp y PULSANTE MANUAL.",,0.0,,,0.0,MATERIAL
CERRADURA LLAVE-LLAVE,,0.0,,,0.0,MATERIAL
CERRADURA PUERTA CORREDIZA,,0.0,,,0.0,MATERIAL
CHOFER: VOLQUETAS  E. O. C1,,6.38,541210012,ND,0.3809,MANO DE OBRA
CINTA PVC 15 CM,,0.0,,,0.0,MATERIAL
CLAVOS,,0.0,,,0.0,MATERIAL
"CLAVOS DE 2 A 8""",kg,1.91,,,0.0,MATERIAL
"CLAVOS DE 2 A 8""",,0.0,,,0.0,MATERIAL
CLAVOS DE 2 A 8”,,0.0,,,0.0,MATERIAL
CLOSET LACADO E CLOSET INCLUYE LACADO (SEGÚN PLANOS DE DETALLE),,0.0,,,0.0,MATERIAL
CODO 11.25° PVC U/E 1.25MPA D= 315MM,,0.0,,,0.0,MATERIAL
"CODO 12° RADIO LARGO ACERO INOXIDABLE AISI 304L, DN = 150 MM, L=0.98 M, SCH 40, B-B",,0.0,,,0.0,MATERIAL
"CODO 12° RADIO LARGO ACERO INOXIDABLE AISI 304L, DN = 150 MM, L=1.15 M, SCH 40, B-B",,0.0,,,0.0,MATERIAL
CODO 22.5° PVC U/E 1.25MPA D= 315MM,,0.0,,,0.0,MATERIAL
"CODO 45° HD, DN = 100 MM, PN 10, B-B",,0.0,,,0.0,MATERIAL
"CODO 45° HD, DN = 150 MM, B-B, PN10",,0.0,,,0.0,MATERIAL
"CODO 45° HD, DN = 250 MM",,0.0,,,0.0,MATERIAL
"CODO 45° HD, DN = 250 MM, PN 10, B-B",,0.0,,,0.0,MATERIAL
"CODO 45° HD, DN = 300 MM",,0.0,,,0.0,MATERIAL
CODO 45° PVC U/E 1.25MPA D= 315MM,,0.0,,,0.0,MATERIAL
"CODO 90, ACERO INOX. 304, D=2"" 1/2, 250 PSI, R-R",,0.0,,,0.0,MATERIAL
"CODO 90° HD, DN = 100 MM, B-B, PN10",,0.0,,,0.0,MATERIAL
"CODO 90° HD, DN = 150 MM, B-B, PN10",,0.0,,,0.0,MATERIAL
"CODO 90° HD, DN = 200 MM, B-B, PN10",,0.0,,,0.0,MATERIAL
"CODO 90° HD, DN = 250 MM, CLASE 40",,0.0,,,0.0,MATERIAL
"CODO 90° HD, DN = 300 MM, CLASE 30",,0.0,,,0.0,MATERIAL
"CODO 90° HD, DN = 50 MM, B-B, PN10",,0.0,,,0.0,MATERIAL
"CODO 90° HD, DN = 80 MM, B-B, PN10",,0.0,,,0.0,MATERIAL
CODO 90° PVC U/E 1.25MPA D= 315MM,,0.0,,,0.0,MATERIAL
"CODO 90°, ACERO INOX. 304, D=1"", 150 PSI, R-R",,0.0,,,0.0,MATERIAL
